Record ID,Framework,Topic,Scenario,AI Generated Response,Reviewer Label,Accuracy Score,Completeness Score,Reasoning Score,Framework Alignment Score,Remediation Quality Score,Primary Issue,Reviewer Comments,Improved Response
AI-GRC-001,SOC 2,Logical Access,A company reviews privileged access annually in a high-risk environment,Annual privileged access reviews are sufficient for SOC 2 compliance,Incomplete,3,3,3,3,2,Overgeneralized review frequency,The response treats annual review as universally sufficient without considering risk system sensitivity policy or evidence expectations,Privileged access reviews should be risk-based and aligned with organizational policy system sensitivity and control design. High-risk environments may require more frequent reviews with documented evidence and follow-up.
AI-GRC-002,NIST CSF 2.0,Governance,A company has technical security controls but no defined cybersecurity governance owner,NIST CSF 2.0 does not require governance because technical controls are already implemented,Incorrect,1,2,1,1,1,Wrong interpretation of framework,The response ignores the Govern function and incorrectly separates governance from cybersecurity risk management,NIST CSF 2.0 includes the Govern function to establish cybersecurity risk management strategy roles responsibilities policy oversight and accountability.
AI-GRC-003,ISO 27001,Risk Treatment,A risk has a high inherent score and management chooses to accept it without documentation,The risk is acceptable because management approved it verbally,Incorrect,2,2,2,2,1,Unsupported risk acceptance,The response assumes verbal approval is sufficient without documented rationale ownership authorization or residual-risk acceptance,High-risk acceptance should be formally documented with rationale responsible owner approving authority residual risk and review requirements.
AI-GRC-004,PCI DSS,Access Control,Shared administrator accounts are used across multiple systems,Shared administrator accounts are acceptable if passwords are strong,Incorrect,1,2,2,1,2,Weak identity accountability,The response fails to address individual accountability and traceability for privileged activity,Privileged access should use unique user identities where required so actions can be attributed to specific individuals with strong authentication and appropriate access controls.
AI-GRC-005,NIST SP 800-53,Audit Logging,A system collects logs but nobody reviews them,Logging is fully effective because the logs are stored,Incomplete,2,2,2,3,2,Monitoring effectiveness ignored,The response focuses only on log collection and ignores review analysis reporting and escalation,Logging effectiveness requires both collection and appropriate review analysis escalation retention and evidence that suspicious activity is investigated.
AI-GRC-006,Third-Party Risk,Vendor Due Diligence,A critical vendor has access to sensitive customer data but has not been reassessed for three years,The vendor can remain approved because the initial questionnaire was completed,Incorrect,1,2,2,2,2,Recurring reassessment missing,The response fails to consider changing risk exposure vendor posture and recurring due diligence for high-risk suppliers,Critical vendors should be periodically reassessed based on risk and changes in services data access incidents compliance status and control environment.
AI-GRC-007,SOC 2,Audit Evidence,A control owner states MFA is enabled but provides no evidence,The control should be marked effective because the owner confirmed it verbally,Unsupported,1,1,1,2,1,No supporting evidence,The response treats an unsupported statement as sufficient proof of operating effectiveness,Control effectiveness should be supported by relevant evidence such as configuration screenshots enrollment reports policy settings or test results.
AI-GRC-008,ISO 27001,Statement of Applicability,A control is excluded from the Statement of Applicability without justification,This is acceptable because organizations can exclude any control they do not want to implement,Incorrect,1,2,2,1,1,Incorrect control exclusion logic,The response ignores the need to justify applicability decisions based on risk context and requirements,The Statement of Applicability should document whether controls are applicable and provide rationale for inclusion or exclusion based on risk legal contractual and business requirements.
AI-GRC-009,NIST CSF 2.0,Incident Response,A company has an incident response plan but never tests it,The company has strong incident response because a written plan exists,Incomplete,2,2,2,3,2,No validation of effectiveness,The response ignores exercises lessons learned and continuous improvement,A written plan is only one component of incident response. Organizations should test procedures through exercises document lessons learned and update the plan based on results.
AI-GRC-010,PCI DSS,Vulnerability Management,A critical vulnerability has been open for 120 days,The issue can remain open indefinitely if the security team is busy,Incorrect,1,1,1,1,1,No risk-based remediation,The response ignores severity remediation expectations and formal exception handling,Critical vulnerabilities should be prioritized for timely remediation based on defined risk-based timelines. Delays should require documented justification approval compensating measures and tracking.
AI-GRC-011,NIST SP 800-53,Least Privilege,A former administrator still has elevated permissions after moving to a non-technical role,No action is needed because the user is still employed,Incorrect,1,2,2,2,3,Role change ignored,The response fails to apply least privilege and access review principles,Access should be updated when job responsibilities change. Unnecessary privileged permissions should be removed and the change documented through access review or provisioning records.
AI-GRC-012,Third-Party Risk,Contractual Security,A vendor contract has no breach-notification language,The contract is sufficient because the vendor has a good reputation,Incorrect,1,2,2,2,2,Contractual control gap,The response relies on reputation instead of documented security obligations,High-risk vendor agreements should define relevant security responsibilities such as incident notification data protection access expectations and remediation obligations based on organizational requirements.
AI-GRC-013,SOC 2,Change Management,Production changes are made without approval records,The control is effective because the changes did not cause an outage,Incorrect,1,2,2,2,2,Outcome confused with control operation,The absence of an outage does not demonstrate that the change-management control operated effectively,Change-management effectiveness should be demonstrated through evidence such as requests approvals testing records implementation details and segregation of duties where applicable.
AI-GRC-014,ISO 27001,Asset Management,A cloud application processing sensitive data is missing from the asset inventory,The asset inventory is complete enough because most systems are listed,Incomplete,2,2,2,3,3,Material asset omitted,The response minimizes the risk created by an untracked system handling sensitive data,The missing application should be added to the inventory with ownership data classification dependencies risk information and applicable security controls.
AI-GRC-015,NIST CSF 2.0,Risk Assessment,A risk register contains only technical vulnerabilities with no business impact,The risk register is complete because all vulnerabilities are listed,Incomplete,2,2,2,3,2,Business impact missing,The response treats vulnerability tracking as equivalent to enterprise cybersecurity risk assessment,A useful risk register should connect threats vulnerabilities likelihood impact affected assets business consequences ownership treatment decisions and status.
AI-GRC-016,NIST SP 800-53,Contingency Planning,Backups run daily but have never been restored in a test,The backup control is fully effective because backup jobs show success,Incomplete,2,2,2,3,3,Recovery capability unvalidated,The response ignores whether backups are actually usable during recovery,Backup success logs should be supplemented with periodic restoration testing to validate recovery capability document results and correct failures.
AI-GRC-017,Third-Party Risk,Vendor Evidence,A vendor claims ISO 27001 certification but does not provide documentation,The vendor should be rated low risk because they said they are certified,Unsupported,1,1,1,2,1,Unverified claim,The response accepts an unsupported certification claim,The claimed certification should be validated using appropriate documentation before it materially influences the vendor risk rating.
AI-GRC-018,SOC 2,Incident Management,A phishing incident was contained but no ticket or report was created,The incident process worked because the attack was stopped,Incomplete,3,2,3,3,3,Documentation gap,The response ignores evidence retention lessons learned and incident records,Containment is important but incident handling should also be documented with timeline actions evidence escalation decisions impact and follow-up where required.
AI-GRC-019,ISO 27001,Security Awareness,Employees completed training two years ago with no refresher program,The organization has met awareness requirements because training was completed once,Incomplete,2,2,2,3,3,Recurring awareness ignored,The response does not consider ongoing awareness and changing threats,Security awareness should be maintained over time through recurring training updates and awareness activities appropriate to organizational risk.
AI-GRC-020,NIST CSF 2.0,Supply Chain Risk,A company evaluates vendors only after a security incident occurs,This is an efficient risk-based approach because reviews happen only when necessary,Incorrect,1,2,2,2,2,Reactive-only vendor risk process,The response confuses risk-based review with incident-only review,Supply-chain risk should be assessed proactively based on criticality access data exposure and changes in vendor risk with additional review after significant events when appropriate.
